,0
2018-11-18,
2018-11-25,
2018-12-02,12761.0
2018-12-09,
2018-12-16,
2018-12-23,
2018-12-30,
2019-01-06,12790.0
2019-01-13,
2019-01-20,
2019-01-27,
2019-02-03,12782.0
2019-02-10,
2019-02-17,
2019-02-24,
2019-03-03,12788.0
2019-03-10,
2019-03-17,
2019-03-24,
2019-03-31,
2019-04-07,12785.0
2019-04-14,
2019-04-21,
2019-04-28,
2019-05-05,12778.0
2019-05-12,
2019-05-19,
2019-05-26,
2019-06-02,12787.0
2019-06-09,
2019-06-16,
2019-06-23,
2019-06-30,
2019-07-07,12790.0
2019-07-14,
2019-07-21,
2019-07-28,
2019-08-04,12789.0
2019-08-11,
2019-08-18,
2019-08-25,
2019-09-01,12787.0
2019-09-08,
2019-09-15,
2019-09-22,
2019-09-29,
2019-10-06,12733.0
2019-10-13,
2019-10-20,
2019-10-27,
2019-11-03,12777.0
2019-11-10,
2019-11-17,
2019-11-24,
2019-12-01,12760.0
2019-12-08,
2019-12-15,
2019-12-22,
2019-12-29,
2020-01-05,12745.0
2020-01-12,
2020-01-19,
2020-01-26,
2020-02-02,12743.0
2020-02-09,
2020-02-16,
2020-02-23,
2020-03-01,12684.0
2020-03-08,
2020-03-15,
2020-03-22,
2020-03-29,
2020-04-05,11382.0
2020-04-12,
2020-04-19,
2020-04-26,
2020-05-03,11610.0
2020-05-10,
2020-05-17,
2020-05-24,
2020-05-31,
2020-06-07,11950.0
2020-06-14,
2020-06-21,
2020-06-28,
2020-07-05,11973.0
2020-07-12,
2020-07-19,
2020-07-26,
2020-08-02,11999.0
2020-08-09,
2020-08-16,
2020-08-23,
2020-08-30,
2020-09-06,12057.0
2020-09-13,
2020-09-20,
2020-09-27,
2020-10-04,12086.0
2020-10-11,
2020-10-18,
2020-10-25,
2020-11-01,12118.0
2020-11-08,
2020-11-15,
2020-11-22,
2020-11-29,
2020-12-06,12153.0
