Date,DXY_Dollar_Index,Gold_Spot,Brent_Crude_Oil
2012-08-24,81.593,1670.35,113.51
2012-08-31,81.208,1691.15,114.92
2012-09-07,80.252,1736.5,114.6
2012-09-14,78.847,1771.62,116.92
2012-09-21,79.328,1773.05,111.42
2012-09-28,79.935,1771.625,112.22
2012-10-05,79.337,1781.5,112.04
2012-10-12,79.667,1754.25,114.4
2012-10-19,79.621,1720.2,110.32
2012-10-26,80.068,1711.35,109.7
2012-11-02,80.593,1678.305,105.5
2012-11-09,81.026,1731.745,109.78
2012-11-16,81.257,1713.35,109.02
2012-11-23,80.192,1753.0,111.39
2012-11-30,80.153,1715.8,111.19
2012-12-07,80.41,1704.75,107.2
2012-12-14,79.58,1695.445,109.2
2012-12-21,79.617,1656.85,109.15
2012-12-28,79.678,1655.7,110.35
2013-01-04,80.499,1657.25,111.4
2013-01-11,79.563,1662.85,110.64
2013-01-18,80.036,1684.545,111.67
2013-01-25,79.748,1659.0,113.4
2013-02-01,79.206,1667.395,116.65
2013-02-08,80.213,1668.1,118.89
2013-02-15,80.58,1609.2,117.97
2013-02-22,81.46,1580.005,114.3
2013-03-01,82.276,1575.9,110.51
2013-03-08,82.715,1577.9,110.88
2013-03-15,82.13,1592.45,110.05
2013-03-22,82.529,1608.45,107.5
2013-03-29,83.221,1596.74,109.94
2013-04-05,82.496,1581.98,104.05
2013-04-12,82.127,1478.85,102.8
2013-04-19,82.714,1404.35,99.53
2013-04-26,82.469,1463.0,102.85
2013-05-03,82.099,1470.75,104.17
2013-05-10,83.143,1448.0,103.68
2013-05-17,84.252,1360.15,104.72
2013-05-24,83.7,1386.05,102.78
2013-05-31,83.261,1386.9,100.15
2013-06-07,81.669,1384.465,104.8
2013-06-14,80.618,1390.7,105.84
2013-06-21,82.41,1297.25,101.09
2013-06-28,83.136,1234.25,101.99
2013-07-05,84.444,1223.805,107.7
2013-07-12,82.988,1284.9,109.04
2013-07-19,82.623,1296.35,108.3
2013-07-26,81.656,1333.9,107.19
2013-08-02,81.908,1312.0,108.91
2013-08-09,81.126,1314.5,108.25
2013-08-16,81.257,1376.4,110.42
2013-08-23,81.361,1397.25,111.05
2013-08-30,82.087,1396.4,114.45
2013-09-06,82.15,1391.605,115.83
2013-09-13,81.452,1326.725,112.75
2013-09-20,80.431,1325.385,109.35
2013-09-27,80.287,1336.205,108.43
2013-10-04,80.131,1311.35,109.5
2013-10-11,80.412,1273.11,111.03
2013-10-18,79.654,1316.245,109.94
2013-10-25,79.194,1352.135,107.06
2013-11-01,80.722,1315.35,105.91
2013-11-08,81.303,1289.0,105.14
2013-11-15,80.849,1288.4,108.5
2013-11-22,80.708,1243.6,110.49
2013-11-29,80.68,1253.495,110.11
2013-12-06,80.315,1228.85,111.75
2013-12-13,80.214,1238.3,108.83
2013-12-20,80.575,1203.25,111.84
2013-12-27,80.392,1214.3,112.11
2014-01-03,80.791,1236.55,107.03
2014-01-10,80.658,1247.1,107.49
2014-01-17,81.225,1253.82,106.32
2014-01-24,80.458,1267.82,107.89
2014-01-31,81.311,1243.8,106.4
2014-02-07,80.691,1267.06,109.63
2014-02-14,80.149,1318.94,109.07
2014-02-21,80.237,1323.4,109.84
2014-02-28,79.691,1326.4,109.15
2014-03-07,79.719,1340.25,108.75
2014-03-14,79.446,1382.24,108.54
2014-03-21,80.105,1334.55,107.2
2014-03-28,80.176,1294.0,107.97
2014-04-04,80.423,1302.71,106.65
2014-04-11,79.452,1318.5,107.08
2014-04-18,79.828,1293.78,109.76
2014-04-25,79.749,1303.45,109.39
2014-05-02,79.516,1300.32,108.9
2014-05-09,79.903,1289.33,107.97
2014-05-16,80.043,1293.7,109.68
2014-05-23,80.393,1293.11,110.44
2014-05-30,80.369,1251.0,109.49
2014-06-06,80.409,1252.73,108.85
2014-06-13,80.576,1276.95,113.5
2014-06-20,80.372,1314.82,114.68
2014-06-27,80.017,1315.35,113.18
2014-07-04,80.269,1320.55,110.58
2014-07-11,80.187,1338.15,106.53
2014-07-18,80.524,1310.9,107.14
2014-07-25,81.029,1308.05,108.13
2014-08-01,81.302,1294.1,104.69
2014-08-08,81.454,1309.6,104.67
2014-08-15,81.424,1304.6,103.4
2014-08-22,82.336,1281.23,102.1
2014-08-29,82.748,1287.57,103.04
2014-09-05,83.739,1268.85,100.97
2014-09-12,84.24,1228.63,96.91
2014-09-19,84.735,1216.45,98.38
2014-09-26,85.64,1219.51,96.9
2014-10-03,86.694,1191.2,92.25
2014-10-10,85.912,1223.48,89.89
2014-10-17,85.11,1238.19,86.1
2014-10-24,85.732,1231.46,86.25
2014-10-31,86.917,1174.42,85.93
2014-11-07,87.642,1176.65,83.14
2014-11-14,87.525,1188.25,79.55
2014-11-21,88.31,1201.4,80.36
2014-11-28,88.356,1167.35,70.02
2014-12-05,89.334,1192.05,68.94
2014-12-12,88.363,1222.6,61.65
2014-12-19,89.598,1195.95,62.15
2014-12-26,90.03,1195.4,59.52
2015-01-02,91.08,1189.18,56.51
2015-01-09,91.935,1223.4,49.95
2015-01-16,92.52,1280.3,49.9
2015-01-23,94.762,1294.55,48.55
2015-01-30,94.804,1283.55,52.95
2015-02-06,95.854,1233.72,58.16
2015-02-13,94.201,1229.7,61.48
2015-02-20,94.34,1202.4,60.34
2015-02-27,95.321,1213.15,62.33
2015-03-06,97.615,1167.21,59.77
2015-03-13,100.33,1159.48,54.6
2015-03-20,97.909,1182.68,55.22
2015-03-27,97.291,1199.3,56.12
2015-04-03,96.545,1210.9,55.13
2015-04-10,99.338,1208.05,58.04
2015-04-17,97.52,1204.65,63.72
2015-04-24,96.922,1179.38,65.49
2015-05-01,95.297,1178.5,66.51
2015-05-08,94.794,1188.15,65.59
2015-05-15,93.135,1223.85,66.86
2015-05-22,96.11,1206.38,65.57
2015-05-29,96.907,1190.5,65.45
2015-06-05,96.306,1172.0,63.23
2015-06-12,94.972,1180.8,63.78
2015-06-19,94.085,1200.51,62.75
2015-06-26,95.472,1175.0725,63.05
2015-07-03,96.113,1167.94,60.55
2015-07-10,96.025,1163.96,58.72
2015-07-17,97.862,1134.1,57.01
2015-07-24,97.244,1099.1,54.56
2015-07-31,97.336,1095.65,51.85
2015-08-07,97.563,1094.2,48.49
2015-08-14,96.52,1114.105,49.0
2015-08-21,95.008,1161.05,45.43
2015-08-28,96.106,1133.96,49.93
2015-09-04,96.229,1123.0,49.29
2015-09-11,95.194,1107.9,48.18
2015-09-18,94.863,1139.4,47.78
2015-09-25,96.269,1146.245,48.34
2015-10-02,95.83,1138.14,48.22
2015-10-09,94.813,1157.53,52.43
2015-10-16,94.54,1177.2,50.5
2015-10-23,97.127,1164.255,48.08
2015-10-30,96.946,1142.375,49.5
2015-11-06,99.168,1088.645,47.66
2015-11-13,98.998,1083.645,43.6
2015-11-20,99.565,1078.095,44.48
2015-11-27,100.02,1058.81,44.87
2015-12-04,98.354,1086.995,43.22
2015-12-11,97.565,1074.895,37.98
2015-12-18,98.703,1066.195,36.55
2015-12-25,97.984,1075.875,37.93
2016-01-01,98.631,1060.74,37.6
2016-01-08,98.54,1104.24,33.26
2016-01-15,98.956,1089.095,29.11
2016-01-22,99.574,1098.295,32.08
2016-01-29,99.606,1118.04,34.73
2016-02-05,97.031,1173.69,34.13
2016-02-12,95.94,1238.045,32.65
2016-02-19,96.6,1228.195,33.12
2016-02-26,98.148,1222.595,35.13
2016-03-04,97.34,1259.445,38.93
2016-03-11,96.172,1248.445,40.38
2016-03-18,95.086,1255.295,41.46
2016-03-25,96.142,1216.475,40.45
2016-04-01,94.619,1222.495,38.75
2016-04-08,94.235,1240.395,41.89
2016-04-15,94.696,1234.045,42.85
2016-04-22,95.116,1232.295,45.16
2016-04-29,93.082,1293.745,48.14
2016-05-06,93.888,1288.7,45.28
2016-05-13,94.608,1273.6,47.85
2016-05-20,95.334,1252.295,48.74
2016-05-27,95.521,1212.4,49.46
2016-06-03,94.029,1244.495,49.84
2016-06-10,94.571,1274.2,50.48
2016-06-17,94.206,1298.595,49.25
2016-06-24,95.448,1315.98,48.41
2016-07-01,95.649,1342.295,50.55
2016-07-08,96.302,1366.8,46.44
2016-07-15,96.58,1337.85,48.09
2016-07-22,97.467,1322.385,45.74
2016-07-29,95.531,1350.91,42.49
2016-08-05,96.194,1335.795,44.42
2016-08-12,95.722,1336.19,47.08
2016-08-19,94.511,1341.78,50.79
2016-08-26,95.566,1321.3301,49.57
2016-09-02,95.844,1325.01,46.68
2016-09-09,95.336,1328.15,47.88
2016-09-16,96.108,1310.4251,46.05
2016-09-23,95.477,1337.605,46.07
2016-09-30,95.463,1315.96,49.05
2016-10-07,96.632,1256.965,51.69
2016-10-14,98.019,1250.55,52.0
2016-10-21,98.695,1266.75,51.92
2016-10-28,98.348,1276.295,49.6
2016-11-04,97.065,1304.25,45.6
2016-11-11,99.06,1225.68,44.52
2016-11-18,101.21,1208.695,46.89
2016-11-25,101.49,1183.63,47.12
2016-12-02,100.77,1176.92,54.49
2016-12-09,101.59,1157.87,54.36
2016-12-16,102.95,1134.0851,55.33
2016-12-23,103.01,1133.495,55.08
2016-12-30,102.21,1151.845,56.75
2017-01-06,102.22,1172.81,56.75
2017-01-13,101.18,1197.66,55.59
2017-01-20,100.74,1209.96,55.49
2017-01-27,100.53,1191.595,55.46
2017-02-03,99.868,1219.88,56.72
2017-02-10,100.8,1234.115,56.61
2017-02-17,100.95,1235.29,55.72
2017-02-24,101.09,1256.945,56.04
2017-03-03,101.54,1234.3,55.71
2017-03-10,101.25,1204.545,51.27
2017-03-17,100.3,1229.15,51.67
2017-03-24,99.627,1244.175,50.97
2017-03-31,100.35,1249.13,52.74
2017-04-07,101.18,1254.05,55.26
2017-04-14,100.56,1285.69,55.64
2017-04-21,99.977,1284.5,52.05
2017-04-28,99.05,1268.15,51.71
2017-05-05,98.648,1227.735,49.47
2017-05-12,99.252,1228.83,50.91
2017-05-19,97.142,1255.55,53.8
2017-05-26,97.442,1267.045,52.23
2017-06-02,96.715,1279.98,49.95
2017-06-09,97.274,1266.4,48.3
2017-06-16,97.164,1253.63,47.29
2017-06-23,97.264,1256.9,45.61
2017-06-30,95.628,1241.6,47.9
2017-07-07,96.008,1212.9,46.88
2017-07-14,95.153,1228.98,49.09
2017-07-21,93.858,1254.9,47.93
2017-07-28,93.259,1269.25,52.63
2017-08-04,93.542,1258.6,52.46
2017-08-11,93.069,1289.21,52.05
2017-08-18,93.434,1284.5,52.86
2017-08-25,92.74,1291.155,52.35
2017-09-01,92.814,1324.97,52.69
2017-09-08,91.352,1346.71,53.75
2017-09-15,91.872,1319.625,55.48
2017-09-22,92.171,1297.38,56.9
2017-09-29,93.076,1279.45,57.51
2017-10-06,93.8,1276.025,55.68
2017-10-13,93.091,1304.875,57.2
2017-10-20,93.701,1280.725,57.94
2017-10-27,94.916,1273.35,60.5
2017-11-03,94.941,1269.845,62.09
2017-11-10,94.391,1276.11005,63.6
2017-11-17,93.662,1294.37,62.72
2017-11-24,92.782,1288.225,63.73
2017-12-01,92.885,1280.265,63.7
2017-12-08,93.901,1248.145,63.39
2017-12-15,93.932,1255.2601,63.25
2017-12-22,93.347,1275.005,65.04
