,Manufacturing_Employment
2017-05-05,12377.0
2017-05-12,12377.0
2017-05-19,12377.0
2017-05-26,12377.0
2017-06-02,12390.0
2017-06-09,12390.0
2017-06-16,12390.0
2017-06-23,12390.0
2017-06-30,12390.0
2017-07-07,12390.0
2017-07-14,12390.0
2017-07-21,12390.0
2017-07-28,12390.0
2017-08-04,12435.0
2017-08-11,12435.0
2017-08-18,12435.0
2017-08-25,12435.0
2017-09-01,12443.0
2017-09-08,12443.0
2017-09-15,12443.0
2017-09-22,12443.0
2017-09-29,12443.0
2017-10-06,12457.0
2017-10-13,12457.0
2017-10-20,12457.0
2017-10-27,12457.0
2017-11-03,12472.0
2017-11-10,12472.0
2017-11-17,12472.0
2017-11-24,12472.0
2017-12-01,12501.0
2017-12-08,12501.0
2017-12-15,12501.0
2017-12-22,12501.0
2017-12-29,12501.0
2018-01-05,12527.0
2018-01-12,12527.0
2018-01-19,12527.0
2018-01-26,12527.0
2018-02-02,12551.0
2018-02-09,12551.0
2018-02-16,12551.0
2018-02-23,12551.0
2018-03-02,12576.0
2018-03-09,12576.0
2018-03-16,12576.0
2018-03-23,12576.0
2018-03-30,12576.0
2018-04-06,12595.0
2018-04-13,12595.0
2018-04-20,12595.0
2018-04-27,12595.0
2018-05-04,12623.0
2018-05-11,12623.0
2018-05-18,12623.0
2018-05-25,12623.0
2018-06-01,12656.0
2018-06-08,12656.0
2018-06-15,12656.0
2018-06-22,12656.0
2018-06-29,12656.0
2018-07-06,12676.0
2018-07-13,12676.0
2018-07-20,12676.0
2018-07-27,12676.0
2018-08-03,12688.0
2018-08-10,12688.0
2018-08-17,12688.0
2018-08-24,12688.0
2018-08-31,12688.0
2018-09-07,12710.0
2018-09-14,12710.0
2018-09-21,12710.0
2018-09-28,12710.0
2018-10-05,12731.0
2018-10-12,12731.0
2018-10-19,12731.0
2018-10-26,12731.0
2018-11-02,12741.0
2018-11-09,12741.0
2018-11-16,12741.0
2018-11-23,12741.0
2018-11-30,12741.0
2018-12-07,12761.0
2018-12-14,12761.0
2018-12-21,12761.0
2018-12-28,12761.0
2019-01-04,12790.0
2019-01-11,12790.0
2019-01-18,12790.0
2019-01-25,12790.0
2019-02-01,12782.0
2019-02-08,12782.0
2019-02-15,12782.0
2019-02-22,12782.0
2019-03-01,12788.0
2019-03-08,12788.0
2019-03-15,12788.0
2019-03-22,12788.0
2019-03-29,12788.0
2019-04-05,12785.0
2019-04-12,12785.0
2019-04-19,12785.0
2019-04-26,12785.0
2019-05-03,12778.0
2019-05-10,12778.0
2019-05-17,12778.0
2019-05-24,12778.0
2019-05-31,12778.0
2019-06-07,12787.0
2019-06-14,12787.0
2019-06-21,12787.0
2019-06-28,12787.0
2019-07-05,12790.0
2019-07-12,12790.0
2019-07-19,12790.0
2019-07-26,12790.0
2019-08-02,12789.0
2019-08-09,12789.0
2019-08-16,12789.0
2019-08-23,12789.0
2019-08-30,12789.0
2019-09-06,12787.0
2019-09-13,12787.0
2019-09-20,12787.0
2019-09-27,12787.0
2019-10-04,12733.0
2019-10-11,12733.0
2019-10-18,12733.0
2019-10-25,12733.0
2019-11-01,12777.0
2019-11-08,12777.0
2019-11-15,12777.0
2019-11-22,12777.0
2019-11-29,12777.0
2019-12-06,12760.0
