Date,OPEN,HIGH,LOW,CLOSE
2010-01-15,2.564,2.655,2.404,2.4176
2010-01-22,2.404,2.463,2.328,2.33555
2010-01-29,2.362,2.482,2.297,2.32405
2010-02-05,2.343,2.41,2.197,2.23825
2010-02-12,2.245,2.413,2.227,2.33125
2010-02-19,2.33,2.507,2.292,2.45165
2010-02-26,2.466,2.471,2.277,2.30345
2010-03-05,2.317,2.373,2.24,2.34315
2010-03-12,2.35,2.488,2.32,2.40935
2010-03-19,2.415,2.464,2.336,2.45505
2010-03-26,2.451,2.693,2.382,2.59305
2010-04-02,2.614,2.675,2.547,2.66245
2010-04-09,2.663,2.757,2.577,2.62735
2010-04-16,2.665,2.681,2.454,2.4695
2010-04-23,2.436,2.609,2.434,2.59065
2010-04-30,2.6,2.615,2.385,2.41645
2010-05-07,2.421,2.492,1.987,2.1668
2010-05-14,2.24,2.359,2.121,2.15475
2010-05-21,2.157,2.215,1.893,2.0243
2010-05-28,2.03,2.203,1.855,2.0977
2010-06-04,2.118,2.211,1.973,1.98755
2010-06-11,1.953,2.118,1.927,2.0243
2010-06-18,2.052,2.112,1.972,2.01395
2010-06-25,2.071,2.103,1.882,1.90215
2010-07-02,1.891,1.911,1.744,1.8165
2010-07-09,1.76,1.849,1.734,1.83855
2010-07-16,1.835,1.91,1.665,1.6693
2010-07-23,1.675,1.742,1.624,1.7346
2010-07-30,1.729,1.797,1.593,1.59645
2010-08-06,1.613,1.645,1.488,1.50465
2010-08-13,1.51,1.566,1.391,1.454
2010-08-20,1.448,1.484,1.351,1.45045
2010-08-27,1.454,1.515,1.278,1.4933
2010-09-03,1.496,1.538,1.329,1.48025
2010-09-10,1.459,1.612,1.375,1.58095
2010-09-17,1.612,1.627,1.396,1.4413
2010-09-24,1.441,1.462,1.258,1.3478
2010-10-01,1.344,1.365,1.225,1.2589
2010-10-08,1.25,1.258,1.074,1.1049
2010-10-15,1.106,1.199,1.073,1.1872
2010-10-22,1.172,1.186,1.071,1.1511
2010-10-29,1.15,1.341,1.11,1.1677
2010-11-05,1.197,1.226,1.016,1.0948
2010-11-12,1.085,1.383,1.069,1.36195
2010-11-19,1.355,1.561,1.35,1.5227
2010-11-26,1.542,1.587,1.353,1.52975
2010-12-03,1.549,1.73,1.422,1.6166
2010-12-10,1.584,1.998,1.514,1.98855
2010-12-17,1.979,2.162,1.869,1.96205
2010-12-24,1.968,2.078,1.88,2.05785
2010-12-31,2.071,2.188,1.995,2.00595
2011-01-07,2.014,2.168,1.926,1.96505
2011-01-14,2.017,2.078,1.859,1.9172
2011-01-21,1.896,2.076,1.876,2.01205
2011-01-28,2.021,2.088,1.905,1.92345
2011-02-04,1.898,2.305,1.896,2.26425
2011-02-11,2.269,2.424,2.262,2.35815
2011-02-18,2.359,2.415,2.253,2.26965
2011-02-25,2.225,2.228,2.111,2.1623
2011-03-04,2.163,2.345,2.082,2.18235
2011-03-11,2.193,2.237,1.995,2.05255
2011-03-18,2.029,2.058,1.802,1.93095
2011-03-25,1.987,2.185,1.945,2.15425
2011-04-01,2.185,2.353,2.16,2.24085
2011-04-08,2.24,2.352,2.17,2.31265
2011-04-15,2.34,2.342,2.111,2.1229
2011-04-22,2.115,2.145,2.046,2.1082
2011-04-29,2.117,2.158,1.964,1.9711
2011-05-06,1.979,2.01,1.837,1.85715
2011-05-13,1.891,1.942,1.791,1.83185
2011-05-20,1.816,1.918,1.76,1.79395
2011-05-27,1.786,1.839,1.702,1.7181
2011-06-03,1.704,1.76,1.542,1.59855
2011-06-10,1.599,1.642,1.493,1.56115
2011-06-17,1.566,1.696,1.45,1.52525
2011-06-24,1.524,1.572,1.37,1.3739
2011-07-01,1.385,1.844,1.355,1.78445
2011-07-08,1.776,1.782,1.546,1.57295
2011-07-15,1.559,1.584,1.371,1.4401
2011-07-22,1.441,1.579,1.405,1.50735
2011-07-29,1.51,1.571,1.344,1.35
2011-08-05,1.383,1.422,1.068,1.254
2011-08-12,1.219,1.247,0.864,0.9599
2011-08-19,0.97,1.001,0.792,0.8932
2011-08-26,0.897,1.055,0.885,0.9399
2011-09-02,0.946,1.026,0.836,0.8652
2011-09-09,0.836,0.936,0.796,0.8015
2011-09-16,0.804,0.987,0.786,0.91905
2011-09-23,0.921,0.921,0.762,0.8588
2011-09-30,0.894,1.013,0.843,0.9542
2011-10-07,0.961,1.097,0.843,1.0801
2011-10-14,1.149,1.208,1.047,1.117
2011-10-21,1.117,1.158,1.003,1.0627
2011-10-28,1.052,1.221,0.982,1.13375
2011-11-04,1.114,1.118,0.851,0.8811
2011-11-11,0.899,0.948,0.839,0.908
2011-11-18,0.966,0.969,0.853,0.9133
2011-11-25,0.913,0.939,0.869,0.9327
2011-12-02,0.97,1.02,0.907,0.91435
2011-12-09,0.946,0.975,0.828,0.8887
2011-12-16,0.894,0.894,0.798,0.8016
2011-12-23,0.812,0.992,0.796,0.97545
2011-12-30,1.004,1.018,0.832,0.8326
2012-01-06,0.833,0.923,0.833,0.8525
2012-01-13,0.854,0.88,0.769,0.7904
2012-01-20,0.788,0.896,0.772,0.8855
2012-01-27,0.88,0.927,0.741,0.7482
2012-02-03,0.746,0.789,0.698,0.7685
2012-02-10,0.768,0.877,0.747,0.8195
2012-02-17,0.836,0.907,0.777,0.8588
2012-02-24,0.883,0.927,0.857,0.8934
2012-03-02,0.894,0.925,0.821,0.8405
2012-03-09,0.849,0.922,0.813,0.89675
2012-03-16,0.894,1.166,0.868,1.1166
2012-03-23,1.119,1.226,1.063,1.08305
2012-03-30,1.097,1.127,0.992,1.0394
2012-04-06,1.068,1.12,0.887,0.8898
2012-04-13,0.891,0.955,0.842,0.8508
2012-04-20,0.85,0.876,0.821,0.8405
2012-04-27,0.841,0.893,0.784,0.8247
2012-05-04,0.827,0.849,0.774,0.7829
2012-05-11,0.758,0.79,0.731,0.74805
2012-05-18,0.735,0.77,0.705,0.7452
2012-05-25,0.744,0.793,0.723,0.7614
2012-06-01,0.762,0.778,0.59,0.621
2012-06-08,0.612,0.739,0.611,0.7107
2012-06-15,0.76,0.768,0.67,0.674
2012-06-22,0.702,0.782,0.659,0.7535
2012-06-29,0.746,0.758,0.683,0.7157
2012-07-06,0.729,0.732,0.637,0.6437
2012-07-13,0.637,0.649,0.603,0.6209
2012-07-20,0.622,0.628,0.57,0.5756
2012-07-27,0.57,0.68,0.536,0.6543
2012-08-03,0.651,0.682,0.581,0.6652
2012-08-10,0.677,0.753,0.634,0.7061
2012-08-17,0.694,0.839,0.684,0.7978
2012-08-24,0.802,0.828,0.668,0.7085
2012-08-31,0.712,0.712,0.587,0.5876
2012-09-07,0.592,0.724,0.587,0.6434
2012-09-14,0.63,0.741,0.62,0.7175
2012-09-21,0.718,0.722,0.662,0.6693
2012-09-28,0.67,0.68,0.606,0.6242
2012-10-05,0.617,0.678,0.601,0.6746
2012-10-12,0.643,0.692,0.631,0.6595
2012-10-19,0.659,0.793,0.655,0.74845
2012-10-26,0.752,0.833,0.741,0.7604
2012-11-02,0.742,0.779,0.715,0.7204
2012-11-09,0.721,0.758,0.622,0.6419
2012-11-16,0.64,0.652,0.598,0.6095
2012-11-23,0.62,0.692,0.615,0.6886
2012-11-30,0.695,0.695,0.612,0.6178
2012-12-07,0.617,0.646,0.591,0.6178
2012-12-14,0.619,0.709,0.598,0.6869
2012-12-21,0.705,0.793,0.691,0.762
2012-12-28,0.763,0.795,0.705,0.7078
2013-01-04,0.709,0.859,0.705,0.8101
2013-01-11,0.813,0.819,0.758,0.7765
2013-01-18,0.777,0.808,0.728,0.7605
2013-01-25,0.779,0.854,0.731,0.8482
2013-02-01,0.86,0.918,0.817,0.887
2013-02-08,0.904,0.92,0.812,0.8259
2013-02-15,0.827,0.914,0.825,0.8629
2013-02-22,0.872,0.898,0.822,0.8256
2013-03-01,0.838,0.851,0.739,0.7428
2013-03-08,0.74,0.921,0.729,0.8893
2013-03-15,0.893,0.911,0.826,0.8331
2013-03-22,0.771,0.819,0.765,0.7961
2013-03-29,0.815,0.829,0.724,0.76835
2013-04-05,0.788,0.792,0.657,0.69
2013-04-12,0.681,0.747,0.678,0.6882
2013-04-19,0.691,0.713,0.671,0.70565
2013-04-26,0.71,0.725,0.653,0.6815
2013-05-03,0.682,0.734,0.639,0.7265
2013-05-10,0.727,0.833,0.719,0.81565
2013-05-17,0.841,0.865,0.768,0.831
2013-05-24,0.837,0.93,0.779,0.8874
2013-05-31,0.905,1.09,0.903,1.0225
2013-06-07,1.043,1.102,0.947,1.0963
2013-06-14,1.1,1.203,1.002,1.0251
2013-06-21,1.042,1.436,1.002,1.42855
2013-06-28,1.428,1.558,1.347,1.3953
2013-07-05,1.403,1.614,1.323,1.60775
2013-07-12,1.609,1.634,1.349,1.42325
2013-07-19,1.424,1.46,1.282,1.2955
2013-07-26,1.295,1.446,1.275,1.3693
2013-08-02,1.362,1.527,1.351,1.3563
2013-08-09,1.36,1.406,1.344,1.35375
2013-08-16,1.355,1.611,1.337,1.5602
2013-08-23,1.578,1.727,1.535,1.62245
2013-08-30,1.628,1.673,1.515,1.64485
2013-09-06,1.698,1.864,1.652,1.7577
2013-09-13,1.763,1.777,1.661,1.69715
2013-09-20,1.698,1.698,1.385,1.481
2013-09-27,1.482,1.507,1.38,1.4034
2013-10-04,1.362,1.437,1.339,1.41
2013-10-11,1.393,1.473,1.367,1.41835
2013-10-18,1.455,1.472,1.29,1.3348
2013-10-25,1.34,1.367,1.254,1.28215
2013-11-01,1.286,1.383,1.25,1.3727
2013-11-08,1.36,1.435,1.27,1.41425
2013-11-15,1.425,1.461,1.325,1.34405
2013-11-22,1.355,1.408,1.307,1.3477
2013-11-29,1.358,1.398,1.301,1.37095
2013-12-06,1.375,1.545,1.372,1.48705
2013-12-13,1.497,1.552,1.444,1.53005
2013-12-20,1.536,1.714,1.47,1.6758
2013-12-27,1.677,1.759,1.67,1.73585
2014-01-03,1.737,1.806,1.702,1.73335
2014-01-10,1.75,1.777,1.617,1.6208
2014-01-17,1.632,1.7,1.581,1.62625
2014-01-24,1.63,1.707,1.493,1.54125
2014-01-31,1.548,1.611,1.485,1.491
2014-02-07,1.51,1.544,1.422,1.4681
2014-02-14,1.469,1.582,1.446,1.52545
2014-02-21,1.531,1.574,1.446,1.53375
2014-02-28,1.539,1.566,1.467,1.5024
2014-03-07,1.456,1.664,1.449,1.6371
2014-03-14,1.64,1.653,1.485,1.5353
2014-03-21,1.528,1.748,1.526,1.7096
2014-03-28,1.727,1.774,1.662,1.7487
2014-04-04,1.758,1.811,1.696,1.70135
2014-04-11,1.701,1.711,1.548,1.5765
2014-04-18,1.546,1.741,1.546,1.7301
2014-04-25,1.736,1.779,1.686,1.72405
2014-05-02,1.733,1.769,1.64,1.66515
2014-05-09,1.656,1.704,1.61,1.6274
2014-05-16,1.637,1.673,1.507,1.55335
2014-05-23,1.556,1.556,1.49,1.52745
2014-05-30,1.536,1.559,1.465,1.5383
2014-06-06,1.549,1.671,1.538,1.64855
2014-06-13,1.649,1.738,1.645,1.69385
2014-06-20,1.701,1.758,1.645,1.68125
2014-06-27,1.692,1.711,1.616,1.63725
2014-07-04,1.635,1.783,1.623,1.73845
2014-07-11,1.763,1.77,1.605,1.63895
2014-07-18,1.645,1.712,1.612,1.66545
2014-07-25,1.671,1.718,1.64,1.67555
2014-08-01,1.683,1.807,1.655,1.6635
2014-08-08,1.668,1.694,1.535,1.6192
2014-08-15,1.628,1.646,1.495,1.53695
2014-08-22,1.556,1.685,1.543,1.66055
2014-08-29,1.668,1.686,1.613,1.6258
2014-09-05,1.638,1.743,1.628,1.68985
2014-09-12,1.686,1.827,1.661,1.81605
2014-09-19,1.817,1.879,1.734,1.81505
2014-09-26,1.806,1.816,1.745,1.7951
2014-10-03,1.799,1.811,1.648,1.7196
2014-10-10,1.732,1.738,1.511,1.53575
2014-10-17,1.475,1.499,1.115,1.4192
2014-10-24,1.443,1.516,1.35,1.49155
2014-10-31,1.514,1.633,1.473,1.6087
2014-11-07,1.596,1.701,1.585,1.58605
2014-11-14,1.59,1.667,1.549,1.60455
2014-11-21,1.599,1.66,1.566,1.60825
2014-11-28,1.612,1.636,1.479,1.49185
2014-12-05,1.495,1.699,1.454,1.67985
2014-12-12,1.694,1.73,1.493,1.51225
2014-12-19,1.508,1.678,1.433,1.6446
2014-12-26,1.65,1.791,1.632,1.7586
2015-01-02,1.753,1.763,1.6,1.6078
2015-01-09,1.6,1.637,1.404,1.4214
2015-01-16,1.434,1.442,1.152,1.2936
2015-01-23,1.259,1.411,1.241,1.3064
2015-01-30,1.28,1.363,1.153,1.1523
2015-02-06,1.173,1.49,1.164,1.48045
2015-02-13,1.464,1.565,1.416,1.5352
2015-02-20,1.5,1.646,1.488,1.5894
2015-02-27,1.59,1.609,1.435,1.49885
2015-03-06,1.512,1.711,1.494,1.69635
2015-03-13,1.706,1.706,1.528,1.58635
2015-03-20,1.579,1.591,1.365,1.4152
2015-03-27,1.41,1.481,1.34,1.4327
2015-04-03,1.425,1.443,1.239,1.25575
2015-04-10,1.339,1.408,1.239,1.3954
2015-04-17,1.4,1.427,1.26,1.30705
2015-04-24,1.311,1.403,1.29,1.3166
2015-05-01,1.316,1.51,1.309,1.4981
2015-05-08,1.522,1.652,1.454,1.4838
2015-05-15,1.481,1.673,1.446,1.4628
2015-05-22,1.465,1.609,1.455,1.56085
2015-05-29,1.565,1.587,1.466,1.4845
2015-06-05,1.49,1.79,1.471,1.74265
2015-06-12,1.752,1.811,1.683,1.74185
2015-06-19,1.704,1.753,1.564,1.57335
2015-06-26,1.599,1.766,1.594,1.7553
2015-07-03,1.599,1.752,1.586,1.6307
2015-07-10,1.533,1.688,1.473,1.6587
2015-07-17,1.65,1.724,1.615,1.67035
2015-07-24,1.688,1.724,1.6,1.61745
2015-07-31,1.617,1.676,1.529,1.5328
2015-08-07,1.543,1.671,1.503,1.5733
2015-08-14,1.587,1.627,1.43,1.5978
2015-08-21,1.597,1.613,1.418,1.42995
2015-08-28,1.414,1.533,1.292,1.5175
2015-09-04,1.541,1.551,1.432,1.4705
2015-09-11,1.489,1.575,1.463,1.5103
2015-09-18,1.526,1.617,1.431,1.4382
2015-09-25,1.459,1.531,1.409,1.47505
2015-10-02,1.474,1.482,1.213,1.2898
2015-10-09,1.286,1.436,1.274,1.3987
2015-10-16,1.383,1.39,1.269,1.3512
2015-10-23,1.344,1.426,1.332,1.4169
2015-10-30,1.416,1.558,1.342,1.5209
2015-11-06,1.517,1.774,1.512,1.73125
2015-11-13,1.735,1.779,1.653,1.65935
2015-11-20,1.627,1.706,1.619,1.69045
2015-11-27,1.705,1.732,1.637,1.6471
2015-12-04,1.646,1.781,1.582,1.70795
2015-12-11,1.719,1.73,1.553,1.55845
2015-12-18,1.587,1.776,1.574,1.67535
2015-12-25,1.678,1.735,1.65,1.71465
2016-01-01,1.731,1.829,1.7,1.75735
2016-01-08,1.78,1.78,1.556,1.5589
2016-01-15,1.564,1.625,1.389,1.45515
2016-01-22,1.461,1.509,1.373,1.48365
2016-01-29,1.493,1.499,1.325,1.3288
2016-02-05,1.344,1.385,1.195,1.2459
2016-02-12,1.256,1.274,0.976,1.2048
2016-02-19,1.232,1.29,1.174,1.2205
2016-02-26,1.228,1.283,1.127,1.23895
2016-03-04,1.238,1.402,1.185,1.3749
2016-03-11,1.387,1.499,1.327,1.48805
2016-03-18,1.49,1.534,1.323,1.33385
2016-03-25,1.297,1.428,1.297,1.3777
2016-04-01,1.398,1.4,1.205,1.2233
2016-04-08,1.214,1.239,1.133,1.15185
2016-04-15,1.166,1.258,1.14,1.21165
2016-04-22,1.188,1.367,1.181,1.35835
2016-04-29,1.363,1.405,1.275,1.2932
2016-05-06,1.288,1.325,1.155,1.2297
2016-05-13,1.239,1.256,1.179,1.2064
2016-05-20,1.204,1.419,1.204,1.3659
2016-05-27,1.359,1.424,1.343,1.38555
2016-06-03,1.403,1.422,1.223,1.2283
2016-06-10,1.236,1.276,1.157,1.1679
2016-06-17,1.149,1.162,1.033,1.1153
2016-06-24,1.161,1.264,0.894,1.0743
2016-07-01,1.017,1.085,0.926,1.0034
2016-07-08,0.991,1.033,0.9,0.946
2016-07-15,0.959,1.156,0.956,1.11115
2016-07-22,1.125,1.169,1.076,1.1176
2016-07-29,1.125,1.181,1.02,1.0205
2016-08-05,1.035,1.14,0.996,1.1355
2016-08-12,1.141,1.164,1.057,1.095
2016-08-19,1.092,1.179,1.083,1.16495
2016-08-26,1.187,1.241,1.118,1.23245
2016-09-02,1.233,1.235,1.14,1.19705
2016-09-09,1.203,1.231,1.104,1.2217
2016-09-16,1.218,1.27,1.153,1.2008
2016-09-23,1.198,1.258,1.151,1.1585
2016-09-30,1.156,1.161,1.092,1.1484
2016-10-07,1.157,1.306,1.148,1.2592
2016-10-14,1.306,1.332,1.246,1.2891
2016-10-21,1.277,1.298,1.216,1.242
2016-10-28,1.248,1.368,1.233,1.3253
2016-11-04,1.318,1.354,1.229,1.2346
2016-11-11,1.3,1.56,1.153,1.548
2016-11-18,1.59,1.806,1.587,1.79155
2016-11-25,1.803,1.906,1.749,1.83625
2016-12-02,1.822,1.935,1.776,1.82985
2016-12-09,1.801,1.894,1.788,1.8865
2016-12-16,1.911,2.124,1.862,2.07295
2016-12-23,2.055,2.074,2.007,2.02875
2016-12-30,2.038,2.067,1.923,1.9332
2017-01-06,1.922,2.003,1.827,1.9247
